,Title,Published_date,Views,Likes,Desc,Comments,Duration,Caption,Month
0,MORBIUS Vignette (Telugu) - The Lore of Morbius,2022-02-26,16165,641,"From a forbidden Marvel character to a new Marvel legend. Watch 'The Lore of Morbius' in Telugu here. 
FINAL TRAILER Monday. #MORBIUS is exclusively in cinemas April 1. Releasing in English, Hindi, Tamil and Telugu.

Follow MORBIUS on Social: 
https://www.facebook.com/morbiusmovie  
https://twitter.com/morbiusmovie 
https://www.instagram.com/morbiusmovie 
https://www.discord.gg/Morbius

One of the most compelling and conflicted characters in Sony Pictures Universe of Marvel Characters comes to the big screen as Oscar®️ winner Jared Leto transforms into the enigmatic antihero Michael Morbius. Dangerously ill with a rare blood disorder and determined to save others suffering his same fate, Dr. Morbius attempts a desperate gamble. While at first it seems to be a radical success, a darkness inside him is unleashed. Will good override evil – or will Morbius succumb to his mysterious new urges?

Directed by: Daniel Espinosa
 
Screen Story and Screenplay by: Matt Sazama & Burk Sharpless
 
Based on the Marvel Comics
 
Produced by:
Avi Arad
Matt Tolmach
Lucas Foster

Cast:
Jared Leto
Matt Smith
Adria Arjona
Jared Harris
Al Madrigal
with Tyrese Gibson

#JaredLeto #Morbius #SonyPictures #Sony #MattSmith #AdriaArjona #JaredHarris #AlMadrigal #TyreseGibson #MichaelMorbius #Marvel #MarvelComics


Music Label - Sony Music Entertainment India Pvt. Ltd.

© 2022 Sony Music Entertainment India Pvt. Ltd.

Subscribe Now: http://bit.ly/SonyMusicSouthVevo
Subscribe Now: http://bit.ly/SonyMusicSouthYT
Follow us: https://www.instagram.com/sonymusic_south/
Follow us: Twitter: https://twitter.com/SonyMusicSouth
Like us: Facebook: https://www.facebook.com/SonyMusicSouth",19,PT1M1S,false,Feb
1,MORBIUS Vignette (Tamil) - The Lore of Morbius,2022-02-26,189376,13830,"From a forbidden Marvel character to a new Marvel legend. Watch 'The Lore of Morbius' in Tamil here. 
FINAL TRAILER Monday. #MORBIUS is exclusively in cinemas April 1. Releasing in English, Hindi, Tamil and Telugu.

Follow MORBIUS on Social: 
https://www.facebook.com/morbiusmovie  
https://twitter.com/morbiusmovie 
https://www.instagram.com/morbiusmovie 
https://www.discord.gg/Morbius

One of the most compelling and conflicted characters in Sony Pictures Universe of Marvel Characters comes to the big screen as Oscar®️ winner Jared Leto transforms into the enigmatic antihero Michael Morbius. Dangerously ill with a rare blood disorder and determined to save others suffering his same fate, Dr. Morbius attempts a desperate gamble. While at first it seems to be a radical success, a darkness inside him is unleashed. Will good override evil – or will Morbius succumb to his mysterious new urges?

Directed by: Daniel Espinosa
 
Screen Story and Screenplay by: Matt Sazama & Burk Sharpless
 
Based on the Marvel Comics
 
Produced by:
Avi Arad
Matt Tolmach
Lucas Foster

Cast:
Jared Leto
Matt Smith
Adria Arjona
Jared Harris
Al Madrigal
with Tyrese Gibson

#JaredLeto #Morbius #SonyPictures #Sony #MattSmith #AdriaArjona #JaredHarris #AlMadrigal #TyreseGibson #MichaelMorbius #Marvel #MarvelComics
Music Label - Sony Music Entertainment India Pvt. Ltd.

© 2022 Sony Music Entertainment India Pvt. Ltd.

Subscribe Now: http://bit.ly/SonyMusicSouthVevo
Subscribe Now: http://bit.ly/SonyMusicSouthYT
Follow us: https://www.instagram.com/sonymusic_south/
Follow us: Twitter: https://twitter.com/SonyMusicSouth
Like us: Facebook: https://www.facebook.com/SonyMusicSouth",264,PT1M1S,false,Feb
2,"Hey Sinamika - Jukebox | Dulquer Salmaan, Aditi Rao Hydari, Kajal Aggarwal | Govind Vasantha, Brinda",2022-02-25,70182,2540,"Achamillai - 00:00
Thozhi - 03:47
Megham - 08:44
Siragai - 12:42
Viduthalai - 17:06
Yarissaikka  - 19:58
Hey Sinamika Title Track - 25:12

CAST:
DULQUER SALMAAN, KAJAL AGRAWAL, Aditi Rao Hydari, NAKSHATHRA NAGESH, MIRCHI VIJAY, THAPA, KOUSHICK, ABHISHEK KUMAR, PRADEEP VIJAYAN, KOTHANDA RAMAN, FRANK, SOUNDARIYA, NANJUNDAN, JANE THOMPSON, RAGHU, SANGEETHA, DHANANJEYAN
AND YOGI BABU

MAKE-UP CHIEF - CHANDRU
MAKE-UP ASSISTANTS - BASKAR
HAIR-DRESSER - MOHAN
COSTUMER CHIEF - V.PRASAD
COSTUMER ASSISTANTS - A.SRINIVAS, P.GANESAN, S.GULAB
PRO - NIKHIL MURUGAN
PUBLICITY DESIGNER - KABILAN
SOUND MIXING  - HARISH
SOUND DESIGN - SURAJ BARDIA
DUBBING ENGINEER - VENKATA PARI NATARAJAN (DFTECH), SUBAIR CP (Vismaya Max, Kochi) SHAJU (AVM.C)
VFX SUPERVISOR - V.RAGHAVAN
COLORIST - RANGA
PROMO EDITOR - PRAVEEN ANTONY

COSTUME DESIGNERS
ANU PARTHASARATHY (DULQUER SALMAAN)
ARCHA MEHTA (KAJAL AGGARWAL)
KHUSHBU BANERJEE (ADITI RAO HYDARI)
COSTUME DESIGNERS’ ASSISTANTS - NITHYA VENKADESAN, PRADEEPA, PANDIYAN, ESHA SIKKA, SOWMYA
PRODUCTION CONTROLLER - M.SENTHEL

PRODUCTION EXECUTIVE - LAKSHMANAN, S.S.KRISHNARAJ, DEENAN KATHIRAVAN

GLOBAL ONE STUDIOS TEAM
V.SURESH KUMAR (Head-Commercial)
 BHASKARAN (Auditor) 
JANAKIRAMAN (Accounts) 
 RAMESH.K (Accounts)
RAGULAN.M (Sound Dept.)
FAISEL (Edit Dept.)
JIO STUDIOS TEAM 
SHOBHA SANT (Content)
NITIN ZANWAR (Commercial)    
AMITA NAIDU (PR)
PRIYANKA CHAUDHARY (CFO)
DIPTI KOTAK (Legal) 
KINJAL PALAN (Strategy)

EXECUTIVE PRODUCERS - FRANK MICHAEL, RANJINI RAMESH, S.PREM
ART DIRECTOR - SS. MOORTHY, SENTHIL RAGHAVAN
EDITOR - RADHA SRIDHAR
DIRECTOR OF PHOTOGRAPHY - PREETHA JAYARAMAN ISC
MUSIC DIRECTOR - GOVIND VASANTHA
STORY ADAPTATION, SCREENPLAY, DIALOGUES, LYRICS - KARKY
ASSOCIATE PRODUCER GLOBAL ONE STUDIOS
PRODUCED BY JIO STUDIOS
DIRECTED BY BRINDA

Music Label - Sony Music Entertainment India Pvt. Ltd.

© 2022 Sony Music Entertainment India Pvt. Ltd.

Subscribe Now: http://bit.ly/SonyMusicSouthVevo
Subscribe Now: http://bit.ly/SonyMusicSouthYT
Follow us: https://www.instagram.com/sonymusic_south/
Follow us: Twitter: https://twitter.com/SonyMusicSouth
Like us: Facebook: https://www.facebook.com/SonyMusicSouth",148,PT27M42S,false,Feb
3,"Hey Sinamika (Telugu) - Jukebox | Dulquer Salmaan, Aditi, Kajal Aggarwal | Govind Vasantha, Brinda",2022-02-25,15461,502,"Bhayam Vaddu - 00:00
Alalegase - 03:47
Mandarama - 08:44
Evari Hrudaya - 12:42
Praanam - 17:06
Freedom Freedom - 19:58
Hey Sinamika Title Track - 25:12

CAST:
DULQUER SALMAAN, KAJAL AGRAWAL, Aditi Rao Hydari, NAKSHATHRA NAGESH, MIRCHI VIJAY, THAPA, KOUSHICK, ABHISHEK KUMAR, PRADEEP VIJAYAN, KOTHANDA RAMAN, FRANK, SOUNDARIYA, NANJUNDAN, JANE THOMPSON, RAGHU, SANGEETHA, DHANANJEYAN
AND YOGI BABU

MAKE-UP CHIEF - CHANDRU
MAKE-UP ASSISTANTS - BASKAR
HAIR-DRESSER - MOHAN
COSTUMER CHIEF - V.PRASAD
COSTUMER ASSISTANTS - A.SRINIVAS, P.GANESAN, S.GULAB
PRO - NIKHIL MURUGAN
PUBLICITY DESIGNER - KABILAN
SOUND MIXING  - HARISH
SOUND DESIGN - SURAJ BARDIA
DUBBING ENGINEER - VENKATA PARI NATARAJAN (DFTECH), SUBAIR CP (Vismaya Max, Kochi) SHAJU (AVM.C)
VFX SUPERVISOR - V.RAGHAVAN
COLORIST - RANGA
PROMO EDITOR - PRAVEEN ANTONY

COSTUME DESIGNERS
ANU PARTHASARATHY (DULQUER SALMAAN)
ARCHA MEHTA (KAJAL AGGARWAL)
KHUSHBU BANERJEE (ADITI RAO HYDARI)
COSTUME DESIGNERS’ ASSISTANTS - NITHYA VENKADESAN, PRADEEPA, PANDIYAN, ESHA SIKKA, SOWMYA
PRODUCTION CONTROLLER - M.SENTHEL

PRODUCTION EXECUTIVE - LAKSHMANAN, S.S.KRISHNARAJ, DEENAN KATHIRAVAN

GLOBAL ONE STUDIOS TEAM
V.SURESH KUMAR (Head-Commercial)
 BHASKARAN (Auditor) 
JANAKIRAMAN (Accounts) 
 RAMESH.K (Accounts)
RAGULAN.M (Sound Dept.)
FAISEL (Edit Dept.)
JIO STUDIOS TEAM 
SHOBHA SANT (Content)
NITIN ZANWAR (Commercial)    
AMITA NAIDU (PR)
PRIYANKA CHAUDHARY (CFO)
DIPTI KOTAK (Legal) 
KINJAL PALAN (Strategy)

EXECUTIVE PRODUCERS - FRANK MICHAEL, RANJINI RAMESH, S.PREM
ART DIRECTOR - SS. MOORTHY, SENTHIL RAGHAVAN
EDITOR - RADHA SRIDHAR
DIRECTOR OF PHOTOGRAPHY - PREETHA JAYARAMAN ISC
MUSIC DIRECTOR - GOVIND VASANTHA
STORY ADAPTATION, SCREENPLAY, DIALOGUES, LYRICS - KARKY
ASSOCIATE PRODUCER GLOBAL ONE STUDIOS
PRODUCED BY JIO STUDIOS
DIRECTED BY BRINDA

Music Label - Sony Music Entertainment India Pvt. Ltd.

© 2022 Sony Music Entertainment India Pvt. Ltd.

Subscribe Now: http://bit.ly/SonyMusicSouthVevo
Subscribe Now: http://bit.ly/SonyMusicSouthYT
Follow us: https://www.instagram.com/sonymusic_south/
Follow us: Twitter: https://twitter.com/SonyMusicSouth
Like us: Facebook: https://www.facebook.com/SonyMusicSouth",27,PT27M39S,false,Feb
4,Valimai Kannada - Jukebox | Ajith Kumar | Yuvan Shankar Raja | Vinoth | Boney Kapoor | Zee Studios,2022-02-23,55125,4657,"Naave Bere Thara
Mother Song
Enno Kore Na
Whistle theme

Movie - Valimai (Kannada)
Music  Composed & Arranged by Yuvan Shankar Raja

Starring: Ajith Kumar, Huma S Qureshi, Karthikeya, Bani, Sumithra, Achyunth Kumar, Yogi Babu, Raj Ayyappa, Pugazh & others

Written and Directed by H. Vinoth
Produced by Zee Studios & Boney Kapoor
DOP : Nirav Shah
Music Director: Yuvan Shankar Raja
Art Director: K. Kadhir
Editor: Vijay Velukutty
Stunts : Dhilip Subbarayan
Costume Designer: Anu Vardhan
Pro: Suresh Chandra & Rekha D'one
Publicity Campaign by Rahul Nanda
CFO & General Manager - Rajiv Arora
COO – Punkej Kharabanda
Executive Producer P. Jayraj
VFX - Harihara Suthan

Music Label - Sony Music Entertainment India Pvt. Ltd.

© 2021 Sony Music Entertainment India Pvt. Ltd.

Subscribe Now: http://bit.ly/SonyMusicSouthVevo
Subscribe Now: http://bit.ly/SonyMusicSouthYT
Follow us: https://www.instagram.com/sonymusic_south/
Follow us: Twitter: https://twitter.com/SonyMusicSouth
Like us: Facebook: https://www.facebook.com/SonyMusicSouth",146,PT13M3S,false,Feb
5,Valimai Telugu - Jukebox | Ajith Kumar | Yuvan Shankar Raja | Vinoth | Boney Kapoor | Zee Studios,2022-02-23,58476,4458,"Naadhi Vere Maata
Mother Song
Thalladilladha
Whistle theme

Movie - Valimai
Music  Composed & Arranged by Yuvan Shankar Raja

Starring: Ajith Kumar, Huma S Qureshi, Karthikeya, Bani, Sumithra, Achyunth Kumar, Yogi Babu, Raj Ayyappa, Pugazh & others

Written and Directed by H. Vinoth
Produced by Zee Studios & Boney Kapoor
DOP : Nirav Shah
Music Director: Yuvan Shankar Raja
Art Director: K. Kadhir
Editor: Vijay Velukutty
Stunts : Dhilip Subbarayan
Costume Designer: Anu Vardhan
Pro: Suresh Chandra & Rekha D'one
Publicity Campaign by Rahul Nanda
CFO & General Manager - Rajiv Arora
COO – Punkej Kharabanda
Executive Producer P. Jayraj
VFX - Harihara Suthan

Music Label - Sony Music Entertainment India Pvt. Ltd.

© 2021 Sony Music Entertainment India Pvt. Ltd.

Subscribe Now: http://bit.ly/SonyMusicSouthVevo
Subscribe Now: http://bit.ly/SonyMusicSouthYT
Follow us: https://www.instagram.com/sonymusic_south/
Follow us: Twitter: https://twitter.com/SonyMusicSouth
Like us: Facebook: https://www.facebook.com/SonyMusicSouth",170,PT13M3S,false,Feb
6,Valimai Jukebox | Ajith Kumar | Yuvan Shankar Raja | Vinoth | Boney Kapoor | Zee Studios,2022-02-23,605852,46582,"Naanga Vera Maari - 00:00
Mother Song - 04:11
Enna Kurai - 08:16
The Intense of Fire -Theme - 11:28
Whistle theme - 14:10

Movie - Valimai
Music  Composed & Arranged by Yuvan Shankar Raja

Starring: Ajith Kumar, Huma S Qureshi, Karthikeya, Bani, Sumithra, Achyunth Kumar, Yogi Babu, Raj Ayyappa, Pugazh & others

Written and Directed by H. Vinoth
Produced by Zee Studios & Boney Kapoor
DOP : Nirav Shah
Music Director: Yuvan Shankar Raja
Art Director: K. Kadhir
Editor: Vijay Velukutty
Stunts : Dhilip Subbarayan
Costume Designer: Anu Vardhan
Pro: Suresh Chandra & Rekha D'one
Publicity Campaign by Rahul Nanda
CFO & General Manager - Rajiv Arora
COO – Punkej Kharabanda
Executive Producer P. Jayraj
VFX - Harihara Suthan
Music Label - Sony Music Entertainment India Pvt. Ltd.

© 2021 Sony Music Entertainment India Pvt. Ltd.

Subscribe Now: http://bit.ly/SonyMusicSouthVevo
Subscribe Now: http://bit.ly/SonyMusicSouthYT
Follow us: https://www.instagram.com/sonymusic_south/
Follow us: Twitter: https://twitter.com/SonyMusicSouth
Like us: Facebook: https://www.facebook.com/SonyMusicSouth

Music Label - Sony Music Entertainment India Pvt. Ltd.

© 2021 Sony Music Entertainment India Pvt. Ltd.

Subscribe Now: http://bit.ly/SonyMusicSouthVevo
Subscribe Now: http://bit.ly/SonyMusicSouthYT
Follow us: https://www.instagram.com/sonymusic_south/
Follow us: Twitter: https://twitter.com/SonyMusicSouth
Like us: Facebook: https://www.facebook.com/SonyMusicSouth",1591,PT15M45S,false,Feb
7,Gandhari Launch Event - Pawan CH Speech | Pawan CH | Telugu Songs 2022 | Telugu Music Videos,2022-02-23,4786,63,"Musician Credits: 
Song Composed, Arranged and Produced by - Pawan Ch
Lyrics - Suddala Ashok Teja
Singer - Ananya Bhat
Mixed by - Pradvay Sivashankar 
Mastered by - Suresh Permal
Music supervisor- Sarthak kalyani 
Musicians
Percussion - Krishna Kishor 
Dotara,Charango,Mandolins - Tapas Roy 
Flute - Lalit Talluri 
Additional Programming - Sarthak kalyani, Hiral Viradia, Suresh rahj  
Additional vocals - Sireesha, Soujanya, Ananya Bhat
Recorded at
KS Maniratnam - Krimson Studios, Chennai, 
K.K.Senthil Prasath- Vanajkesav Digi Audio Waves, Chennai,
Rupjit -Playhead Studios, Mumbai
Mastered at AM Studios, Chennai

Video Credits: 
Featuring - Keerthy Suresh 
Song - Gandhari
Composed by - Pawan CH
Director - Choreographer - Brinda 
Sung by - Ananya Bhat
Lyrics - Suddala Ashok Teja

Cinematography - Harish Kannan
Editor - Gopikrishnan & Radha Sridhar 
Art Director - Kumar Gangappan
Costume Desinger - Archa Mehta & Dinesh Manoharan
Colourist - Arun Sangameshwar 
Stills - Kiransa
Publicity Designer - Kabilan
PRO - Vamsi Kama
Executive Producer - Ra. Sibi Marappan
Team Route - Akshitha Subramanian & Aishwarya Suresh 
Produced by - The Route  

Music Label - Sony Music Entertainment India Pvt. Ltd.

© 2022 Sony Music Entertainment India Pvt. Ltd.

Subscribe Now: http://bit.ly/SonyMusicSouthVevo
Subscribe Now: http://bit.ly/SonyMusicSouthYT
Follow us: https://www.instagram.com/sonymusic_south/
Follow us: Twitter: https://twitter.com/SonyMusicSouth
Like us: Facebook: https://www.facebook.com/SonyMusicSouth

Music Label - Sony Music Entertainment India Pvt. Ltd.

© 2021 Sony Music Entertainment India Pvt. Ltd.

Subscribe Now: http://bit.ly/SonyMusicSouthVevo
Subscribe Now: http://bit.ly/SonyMusicSouthYT
Follow us: https://www.instagram.com/sonymusic_south/
Follow us: Twitter: https://twitter.com/SonyMusicSouth
Like us: Facebook: https://www.facebook.com/SonyMusicSouth",19,PT3M8S,false,Feb
8,Gandhari Launch Event - Keerthy Suresh Speech | Pawan CH | Telugu Songs 2022 | Telugu Music Videos,2022-02-23,35685,1240,"Musician Credits: 
Song Composed, Arranged and Produced by - Pawan Ch
Lyrics - Suddala Ashok Teja
Singer - Ananya Bhat
Mixed by - Pradvay Sivashankar 
Mastered by - Suresh Permal
Music supervisor- Sarthak kalyani 
Musicians
Percussion - Krishna Kishor 
Dotara,Charango,Mandolins - Tapas Roy 
Flute - Lalit Talluri 
Additional Programming - Sarthak kalyani, Hiral Viradia, Suresh rahj  
Additional vocals - Sireesha, Soujanya, Ananya Bhat
Recorded at
KS Maniratnam - Krimson Studios, Chennai, 
K.K.Senthil Prasath- Vanajkesav Digi Audio Waves, Chennai,
Rupjit -Playhead Studios, Mumbai
Mastered at AM Studios, Chennai

Video Credits: 
Featuring - Keerthy Suresh 
Song - Gandhari
Composed by - Pawan CH
Director - Choreographer - Brinda 
Sung by - Ananya Bhat
Lyrics - Suddala Ashok Teja

Cinematography - Harish Kannan
Editor - Gopikrishnan & Radha Sridhar 
Art Director - Kumar Gangappan
Costume Desinger - Archa Mehta & Dinesh Manoharan
Colourist - Arun Sangameshwar 
Stills - Kiransa
Publicity Designer - Kabilan
PRO - Vamsi Kama
Executive Producer - Ra. Sibi Marappan
Team Route - Akshitha Subramanian & Aishwarya Suresh 
Produced by - The Route  

Music Label - Sony Music Entertainment India Pvt. Ltd.

© 2022 Sony Music Entertainment India Pvt. Ltd.

Subscribe Now: http://bit.ly/SonyMusicSouthVevo
Subscribe Now: http://bit.ly/SonyMusicSouthYT
Follow us: https://www.instagram.com/sonymusic_south/
Follow us: Twitter: https://twitter.com/SonyMusicSouth
Like us: Facebook: https://www.facebook.com/SonyMusicSouth

Music Label - Sony Music Entertainment India Pvt. Ltd.

© 2021 Sony Music Entertainment India Pvt. Ltd.

Subscribe Now: http://bit.ly/SonyMusicSouthVevo
Subscribe Now: http://bit.ly/SonyMusicSouthYT
Follow us: https://www.instagram.com/sonymusic_south/
Follow us: Twitter: https://twitter.com/SonyMusicSouth
Like us: Facebook: https://www.facebook.com/SonyMusicSouth",57,PT5M,false,Feb
9,Gandhari Launch Event - Brindha Master Speech | Pawan CH | Telugu Songs 2022 | Telugu Music Videos,2022-02-23,10208,244,"Musician Credits: 
Song Composed, Arranged and Produced by - Pawan Ch
Lyrics - Suddala Ashok Teja
Singer - Ananya Bhat
Mixed by - Pradvay Sivashankar 
Mastered by - Suresh Permal
Music supervisor- Sarthak kalyani 
Musicians
Percussion - Krishna Kishor 
Dotara,Charango,Mandolins - Tapas Roy 
Flute - Lalit Talluri 
Additional Programming - Sarthak kalyani, Hiral Viradia, Suresh rahj  
Additional vocals - Sireesha, Soujanya, Ananya Bhat
Recorded at
KS Maniratnam - Krimson Studios, Chennai, 
K.K.Senthil Prasath- Vanajkesav Digi Audio Waves, Chennai,
Rupjit -Playhead Studios, Mumbai
Mastered at AM Studios, Chennai

Video Credits: 
Featuring - Keerthy Suresh 
Song - Gandhari
Composed by - Pawan CH
Director - Choreographer - Brinda 
Sung by - Ananya Bhat
Lyrics - Suddala Ashok Teja

Cinematography - Harish Kannan
Editor - Gopikrishnan & Radha Sridhar 
Art Director - Kumar Gangappan
Costume Desinger - Archa Mehta & Dinesh Manoharan
Colourist - Arun Sangameshwar 
Stills - Kiransa
Publicity Designer - Kabilan
PRO - Vamsi Kama
Executive Producer - Ra. Sibi Marappan
Team Route - Akshitha Subramanian & Aishwarya Suresh 
Produced by - The Route  

Music Label - Sony Music Entertainment India Pvt. Ltd.

© 2022 Sony Music Entertainment India Pvt. Ltd.

Subscribe Now: http://bit.ly/SonyMusicSouthVevo
Subscribe Now: http://bit.ly/SonyMusicSouthYT
Follow us: https://www.instagram.com/sonymusic_south/
Follow us: Twitter: https://twitter.com/SonyMusicSouth
Like us: Facebook: https://www.facebook.com/SonyMusicSouth

Music Label - Sony Music Entertainment India Pvt. Ltd.

© 2021 Sony Music Entertainment India Pvt. Ltd.

Subscribe Now: http://bit.ly/SonyMusicSouthVevo
Subscribe Now: http://bit.ly/SonyMusicSouthYT
Follow us: https://www.instagram.com/sonymusic_south/
Follow us: Twitter: https://twitter.com/SonyMusicSouth
Like us: Facebook: https://www.facebook.com/SonyMusicSouth",23,PT5M19S,false,Feb
